Name,Price,Sold,Date_Crawl,Link_Item
áo polo thun nam cổ bẻ phối màu cao cấp cotton. chất liệu vải cá xấu.sang,200,0,03/12/2022,https://shopee.vn/%C3%A1o-polo-thun-nam-c%E1%BB%95-b%E1%BA%BB-ph%E1%BB%91i-m%C3%A0u-cao-c%E1%BA%A5p-cotton-ch%E1%BA%A5t-li%E1%BB%87u-v%E1%BA%A3i-c%C3%A1-x%E1%BA%A5u-sang-i.175237589.18763004546?sp_atk=96955f41-acf9-4766-b0d6-f056a5bdc676&xptdk=96955f41-acf9-4766-b0d6-f056a5bdc676
Áo polo nam CALUCI cộc tay. phom slimfit ôm vừa vặn họa tiết in lá cây nhiệt đới đậm chất thiên nhiên MCPS1018S,294,0,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-CALUCI-c%E1%BB%99c-tay-phom-slimfit-%C3%B4m-v%E1%BB%ABa-v%E1%BA%B7n-h%E1%BB%8Da-ti%E1%BA%BFt-in-l%C3%A1-c%C3%A2y-nhi%E1%BB%87t-%C4%91%E1%BB%9Bi-%C4%91%E1%BA%ADm-ch%E1%BA%A5t-thi%C3%AAn-nhi%C3%AAn-MCPS1018S-i.742082336.11698695911?sp_atk=562af425-bd97-4421-be81-8b9a9c760d4b&xptdk=562af425-bd97-4421-be81-8b9a9c760d4b
Áo Thun Polo Trơn ÁO PSG Áo Thun Có Cổ [COMBO 3 ÁO] Đủ Size Áo Polo Nam và Áo Polo Nữ Áo Thun Polo Cao Cấp,220.000 - 320.000,0,03/12/2022,https://shopee.vn/%C3%81o-Thun-Polo-Tr%C6%A1n-%C3%81O-PSG-%C3%81o-Thun-C%C3%B3-C%E1%BB%95-COMBO-3-%C3%81O-%C4%90%E1%BB%A7-Size-%C3%81o-Polo-Nam-v%C3%A0-%C3%81o-Polo-N%E1%BB%AF-%C3%81o-Thun-Polo-Cao-C%E1%BA%A5p-i.145786027.23004326920?sp_atk=af2480ee-0aca-47a0-8cc7-3b2f96244ae6&xptdk=af2480ee-0aca-47a0-8cc7-3b2f96244ae6
Áo polo nam PATTERN cotton 5 màu trơn PA015,229,889,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-PATTERN-cotton-5-m%C3%A0u-tr%C6%A1n-PA015-i.111639450.18526186400?sp_atk=73e0808d-da93-4db3-806c-5be3f501dc50&xptdk=73e0808d-da93-4db3-806c-5be3f501dc50
Áo Polo nam Cá Sấu SANTINO form chuẩn. trắng phối bo đen lịch lãm kháng khuẩn chuẩn form trẻ trung E003,315.09,49,03/12/2022,https://shopee.vn/%C3%81o-Polo-nam-C%C3%A1-S%E1%BA%A5u-SANTINO-form-chu%E1%BA%A9n-tr%E1%BA%AFng-ph%E1%BB%91i-bo-%C4%91en-l%E1%BB%8Bch-l%C3%A3m-kh%C3%A1ng-khu%E1%BA%A9n-chu%E1%BA%A9n-form-tr%E1%BA%BB-trung-E003-i.134790486.20205462728?sp_atk=2a8c4301-7c15-4b91-b2fb-f3bdb48944ec&xptdk=2a8c4301-7c15-4b91-b2fb-f3bdb48944ec
Áo Polo Nam cổ bẻ CM PL14 thun basic cộc tay vải cá sấu cotton phong cách trẻ trung chuẩn form nhiều màu,32.48,12,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-c%E1%BB%95-b%E1%BA%BB-CM-PL14-thun-basic-c%E1%BB%99c-tay-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-cotton-phong-c%C3%A1ch-tr%E1%BA%BB-trung-chu%E1%BA%A9n-form-nhi%E1%BB%81u-m%C3%A0u-i.220503755.16414282135?sp_atk=a4e35bd8-a67c-45f2-8e68-b84baecaa98c&xptdk=a4e35bd8-a67c-45f2-8e68-b84baecaa98c
Áo polo nam CM cổ bẻ phối viền chất thun cotton co giãn- AP45,32.48,23,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-CM-c%E1%BB%95-b%E1%BA%BB-ph%E1%BB%91i-vi%E1%BB%81n-ch%E1%BA%A5t-thun-cotton-co-gi%C3%A3n-AP45-i.220506598.17008455461?sp_atk=21efc54e-5403-4ccd-9dbf-60a03cb98f8a&xptdk=21efc54e-5403-4ccd-9dbf-60a03cb98f8a
♕Áo polo nam thể thao cổ rêu PL02 chất cotton cá sấu co giãn 4c hàng có bigsize 35-90kg,33.04,30,03/12/2022,https://shopee.vn/%E2%99%95%08%C3%81o-polo-nam-th%E1%BB%83-thao-c%E1%BB%95-r%C3%AAu-PL02-ch%E1%BA%A5t-cotton-c%C3%A1-s%E1%BA%A5u-co-gi%C3%A3n-4c-h%C3%A0ng-c%C3%B3-bigsize-35-90kg-i.220503755.16314282691?sp_atk=2e47e0ad-87f4-4a7b-a885-0b65acb6e61a&xptdk=2e47e0ad-87f4-4a7b-a885-0b65acb6e61a
Áo polo nam 3D cao cấp phong cách sang trọng - AC028,33.39,39,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-3D-cao-c%E1%BA%A5p-phong-c%C3%A1ch-sang-tr%E1%BB%8Dng-AC028-i.220506598.17308452236?sp_atk=5639a06f-de06-4f3d-85e1-50a54c378f07&xptdk=5639a06f-de06-4f3d-85e1-50a54c378f07
Áo polo kẻ caro chất liệu cotton cá sấu cao cấp phong cách thể thao trẻ trung năng động có bigsize,33.6,32,03/12/2022,https://shopee.vn/%C3%81o-polo-k%E1%BA%BB-caro-ch%E1%BA%A5t-li%E1%BB%87u-cotton-c%C3%A1-s%E1%BA%A5u-cao-c%E1%BA%A5p-phong-c%C3%A1ch-th%E1%BB%83-thao-tr%E1%BA%BB-trung-n%C4%83ng-%C4%91%E1%BB%99ng-c%C3%B3-bigsize-i.220504961.13180194162?sp_atk=acdfc9ae-94d2-4b33-b37e-3035a8766211&xptdk=acdfc9ae-94d2-4b33-b37e-3035a8766211
